arch,data_frac,mean_scat,mean_rand,delta,std_delta,p_value,ci95_lo,ci95_hi,n_seeds
3b_cmod_4L,10%,73.492,70.92999999999999,2.5620000000000034,1.0508739220287124,0.00818452411909337,1.257167684365759,3.8668323156342477,5
3b_cmod_4L,100%,86.406,85.998,0.4079999999999984,0.34359278222920075,0.07641177443202718,-0.01862678773666704,0.8346267877366639,5
3b_cmod_4L,15%,76.87199999999999,74.744,2.1279999999999974,0.6042317436216009,0.0021416262000238163,1.3777471973731672,2.878252802626828,5
3b_cmod_4L,20%,78.436,76.85,1.5859999999999985,0.433340512761037,0.001853288197095879,1.0479366863414592,2.124063313658538,5
3b_cmod_4L,30%,80.576,80.204,0.3720000000000027,0.6047941798661723,0.286034147526857,-0.3789511594629967,1.1229511594630022,5
3b_cmod_4L,5%,68.48400000000001,63.964,4.520000000000005,1.3356796022998936,0.002486469461485505,2.8615347246891023,6.1784652753109075,5
3b_cmod_4L,50%,83.03,82.924,0.10600000000000306,0.7167035649416038,0.7821041814447024,-0.7839050139722815,0.9959050139722877,5
4b_cmod_4L_h27,10%,73.24000000000001,69.022,4.218000000000001,2.0335427214592743,0.014278512951780876,1.6930232139547101,6.742976786045292,5
4b_cmod_4L_h27,100%,86.83200000000001,85.25399999999999,1.578000000000003,0.8490559463309849,0.020526935795427803,0.5237577989799898,2.6322422010200164,5
4b_cmod_4L_h27,15%,75.77599999999998,72.67,3.105999999999997,1.7440022935764736,0.023545444968202014,0.9405351392812942,5.2714648607187,5
4b_cmod_4L_h27,20%,77.98,76.18199999999999,1.7980000000000047,1.2446589894424862,0.04460120805612195,0.2525517427685877,3.3434482572314215,5
4b_cmod_4L_h27,30%,80.702,79.53200000000001,1.1699999999999988,0.5501636120282797,0.013123693964317599,0.4868816498227393,1.8531183501772583,5
4b_cmod_4L_h27,5%,67.692,59.96,7.7319999999999975,1.2957221924471287,0.00028239245278373663,6.1231484019647455,9.34085159803525,5
4b_cmod_4L_h27,50%,83.728,81.51599999999999,2.2119999999999975,0.5664415239016316,0.0014503625189508259,1.5086699526836633,2.9153300473163317,5
