label,random_init,joint,n_blocks,L,modulus_type,mixing_horizon,l2_penalty,actual_train_samples,head_acc,finetune_acc,finetune_gain,joint_acc,filter_delta_relative,n_params_extractor,n_params_classifier
3b_prelu_4L_rand_s3,True,True,3,4,phase_relu,,0.0,15000,,,,77.65,,1319775,60760
3b_prelu_4L_s3,False,False,3,4,phase_relu,,0.0,15000,65.66,80.07,14.41,,0.1852,1319775,60760
3b_prelu_4L_s3_l2,False,False,3,4,phase_relu,,0.005,15000,65.63,79.74,14.11,,0.1171,1319775,60760
3b_prelu_6L_rand_s3,True,True,3,6,phase_relu,,0.0,15000,,,,78.32,,7173291,166708
3b_prelu_6L_s3,False,False,3,6,phase_relu,,0.0,15000,67.51,78.6,11.09,,0.2192,7173291,166708
3b_prelu_6L_s3_l2,False,False,3,6,phase_relu,,0.005,15000,67.09,79.58,12.49,,0.0811,7173291,166708
3b_prelu_8L_rand_s3,True,True,3,8,phase_relu,,0.0,15000,,,,77.26,,25418223,354304
3b_prelu_8L_s3,False,False,3,8,phase_relu,,0.0,15000,67.57,77.72,10.15,,0.2509,25418223,354304
3b_prelu_8L_s3_l2,False,False,3,8,phase_relu,,0.005,15000,67.73,79.73,12.0,,0.0695,25418223,354304
3b_prelu_4L_rand_s5,True,True,3,4,phase_relu,,0.0,25000,,,,80.8,,1319775,60760
3b_prelu_4L_s5,False,False,3,4,phase_relu,,0.0,25000,66.92,81.95,15.03,,0.2483,1319775,60760
3b_prelu_4L_s5_l2,False,False,3,4,phase_relu,,0.005,25000,67.13,81.65,14.52,,0.1174,1319775,60760
3b_prelu_6L_rand_s5,True,True,3,6,phase_relu,,0.0,25000,,,,81.76,,7173291,166708
3b_prelu_6L_s5,False,False,3,6,phase_relu,,0.0,25000,68.54,81.16,12.62,,0.2922,7173291,166708
3b_prelu_6L_s5_l2,False,False,3,6,phase_relu,,0.005,25000,68.55,81.63,13.08,,0.0794,7173291,166708
3b_prelu_8L_rand_s5,True,True,3,8,phase_relu,,0.0,25000,,,,82.54,,25418223,354304
3b_prelu_8L_s5,False,False,3,8,phase_relu,,0.0,25000,69.25,81.05,11.8,,0.36,25418223,354304
3b_prelu_8L_s5_l2,False,False,3,8,phase_relu,,0.005,25000,69.23,81.82,12.59,,0.0659,25418223,354304
